Thailand,69950844,2486122,3.55409864675829
Montserrat,4981,163,3.27243525396507
Nepal,29674920,964119,3.24893546469544
Philippines,111046910,3594002,3.23647186580878
Morocco,37344787,1143974,3.06327627467791
India,1393409033,42080664,3.01997927409733
Kyrgyzstan,6628347,199164,3.00473104380323
Sri Lanka,21497306,615902,2.86501945871729
Sao Tome and Principe,223364,5908,2.64500993893376
Falkland Islands,3528,91,2.57936507936508
Japan,126050796,3117346,2.47308711957678
Vietnam,98168829,2315689,2.35888420345729
Lower middle income,3330652550,76799664,2.30584436073946
Asia,4678444992,103063873,2.20295147589073
Gabon,2278829,47247,2.07330168257469
El Salvador,6518500,135109,2.07270077471811
Saudi Arabia,35340680,702624,1.98814510643259
South Korea,51305184,971018,1.89263135670657
Laos,7379358,135660,1.83837130547129
Venezuela,28704947,492678,1.71635223712484
Zambia,18920657,306777,1.62138661464028
Indonesia,276361788,4446694,1.60901187974656
Djibouti,1002197,15507,1.54730058062437
Zimbabwe,15092171,230170,1.52509536235708
Timor,1343875,20240,1.50609245651567
Lesotho,2159067,32258,1.49407128171567
Mauritania,4775110,58407,1.22315506867905
Bangladesh,166303494,1844828,1.10931403521805
Equatorial Guinea,1449891,15845,1.09284077216839
Myanmar,54806014,537223,0.98022636712825
Rwanda,13276517,129084,0.972273074331167
Comoros,888456,7870,0.885806387710815
Kiribati,121388,1037,0.854285431838402
Africa,1373486472,10943059,0.796735841457927
Bhutan,779900,5720,0.73342736248237
Cambodia,16946446,121550,0.717259536306315
Mozambique,32163045,224224,0.697147922405979
Uzbekistan,33935765,226997,0.668901968174284
Pakistan,225199929,1454800,0.646003756066904
Kenya,54985702,321922,0.585464926864078
Algeria,44616626,256806,0.575583640053822
Ghana,31732128,157220,0.495459995623363
Senegal,17196308,85143,0.495123720742848
Gambia,2486937,11880,0.477696057439332
Malawi,19647681,84738,0.431287539735605
Togo,8478242,36550,0.431103523584252
Cameroon,27224262,116718,0.428727875157828
Congo,5657017,23705,0.419037100295085
Egypt,104258327,435052,0.417282736562615
Afghanistan,39835428,165358,0.415102857687383
Papua New Guinea,9119005,37390,0.410022804023027
Ethiopia,117876226,466289,0.395575100953775
Guinea-Bissau,2015490,7749,0.384472262328268
Uganda,47123533,162136,0.34406588317561
New Zealand,5126300,17546,0.342274154848526
Solomon Islands,703995,2357,0.334803514229505
Burundi,12255429,37562,0.306492738850676
Cote d'Ivoire,27053629,80821,0.298743654686771
Angola,33933611,98340,0.289801164986538
Central African Republic,4919987,14023,0.285021078307727
Syria,18275704,51741,0.283113580740857
Guinea,13497237,36248,0.268558668711233
Eritrea,3601462,9619,0.267085977861213
Low income,665149040,1776508,0.267084201158886
Nicaragua,6702379,17709,0.264219615154559
Haiti,11541683,29593,0.256401081194138
Benin,12451031,26498,0.212817717665308
Madagascar,28427333,59319,0.208668889198997
Hong Kong,7552800,14235,0.188473149030823
Tajikistan,9749625,17733,0.181883918612254
Somalia,16359500,26067,0.159338610593233
South Sudan,11381377,16833,0.147899502845745
Mali,20855724,30156,0.14459339795636
Liberia,5180208,7276,0.140457680463796
Sudan,44909351,58874,0.131095192179464
Nigeria,211400704,253540,0.119933375434738
Burkina Faso,21497097,20673,0.0961664730823888
Sierra Leone,8141343,7627,0.0936823322638538
Democratic Republic of Congo,92377986,85510,0.0925653434358268
Taiwan,23855008,19029,0.0797694136174677
Saint Helena,6095,4,0.0656275635767022
Tanzania,61498438,33230,0.0540338926982178
Chad,16914985,7157,0.0423115953103121
Yemen,30490639,11145,0.0365522021365312
Niger,25130810,8670,0.0344994848952342
Samoa,200144,33,0.0164881285474458
Macao,658391,79,0.0119989489528259
Marshall Islands,59618,7,0.0117414203763964
Cook Islands,17572,2,0.0113817436831323
China,1444216102,106297,0.00736018659899971
Tonga,106759,7,0.00655682424900945
Vanuatu,314464,7,0.00222600997252468
Micronesia (country),116255,1,0.00086017805685777
Turkmenistan,6117933,NULL,NULL
Jersey,101073,NULL,NULL
Sint Maarten (Dutch part),43421,NULL,NULL
Tokelau,1368,NULL,NULL
Niue,1614,NULL,NULL
Northern Cyprus,NULL,NULL,NULL
Tuvalu,11925,NULL,NULL
Guernsey,63385,NULL,NULL
Pitcairn,47,NULL,NULL
International,NULL,721,NULL
Nauru,10873,NULL,NULL
